id,url,columns
GB6,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=gb6&,"name,ra,dec,ra_error,dec_error,flux_6_cm,flux_6_cm_error,border_flag,extent_flag,confusion_flag,weak_flag"
AT20G,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FMNRAS%2F402%2F2403%2Fat20gcat&,"AT20G,RAJ2000,DEJ2000,S20,e_S20,S8,e_S8,S5,e_S5,Q,Flags"
ATPMN,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=atpmncat&,"name,ra,dec,ra_accuracy,dec_accuracy,flux_3p5_cm,flux_3p5_cm_error,flux_6_cm,flux_6_cm_error,fit_flag"
NORTH20,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F17%2Fnorth20&,"WB,_RA.icrs,_DE.icrs,S1.4,n_S1.4,S4.85,n_S4.85,S.365,cFlg"
CRATES,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=crates&,"name,ra,dec,flux_3p6_cm,ctrpart_3p6_cm,flux_6_cm"
PCCS44,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs044ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
PCCS70,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs070ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
PCCS100,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs100ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
PCCS143,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs143ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
PCCS217,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs217ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
PCCS353,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pccs353ghz&,"name,ra,dec,flux,flux_error,det_flux,det_flux_error"
